pixel_id,label,area,centroid-0,centroid-1,seg_label,morphology,row_number,column_number,right_to_left
p1346,1090,393.0,2782.5445292620866,3121.381679389313,1090,intact,26,27,-11
p1386,1093,425.0,2782.7764705882355,3176.7952941176472,1093,intact,26,28,-10
p1426,1091,449.0,2782.0489977728284,3239.910913140312,1091,intact,26,29,-9
p1466,1100,344.0,2785.5726744186045,3289.395348837209,1100,intact,26,30,-8
p1506,1095,456.0,2783.714912280702,3353.986842105264,1095,intact,26,31,-7
p1546,1101,276.0,2786.217391304348,3404.5471014492755,1101,intact,26,32,-6
p1586,1094,504.0,2784.3531746031745,3460.1150793650795,1094,intact,26,33,-5
p1626,1099,441.0,2786.5238095238096,3506.181405895692,1099,intact,26,34,-4
p1666,1097,476.0,2785.4012605042017,3560.388655462185,1097,intact,26,35,-3
p1706,1096,560.0,2786.367857142857,3612.7375,1096,intact,26,36,-2
p1746,1098,355.0,2785.369014084507,3664.574647887324,1098,intact,26,37,-1
p307,1109,539.0,2825.044526901669,1648.725417439703,1109,intact,27,1,-37
p347,1106,292.0,2825.578767123288,1692.5239726027398,1106,intact,27,2,-36
p387,1107,501.0,2825.011976047904,1760.0259481037924,1107,intact,27,3,-35
p427,1111,300.0,2827.403333333333,1808.7766666666664,1111,intact,27,4,-34
p467,1110,471.0,2826.367303609342,1866.295116772824,1110,intact,27,5,-33
p507,1112,315.0,2827.219047619048,1923.0126984126985,1112,intact,27,6,-32
p547,1113,421.0,2827.144893111639,1980.24703087886,1113,intact,27,7,-31
p587,1114,247.0,2827.4615384615386,2029.5384615384612,1114,intact,27,8,-30
p627,1115,598.0,2828.7842809364547,2100.76254180602,1115,intact,27,9,-29
p667,1116,192.0,2828.609375,2150.234375,1116,intact,27,10,-28
p707,1117,536.0,2829.759328358209,2207.3805970149256,1117,intact,27,11,-27
p747,1120,412.0,2829.910194174757,2259.25,1120,intact,27,12,-26
p787,1118,320.0,2829.56875,2314.678125,1118,intact,27,13,-25
p827,1122,367.0,2832.0708446866483,2366.722070844686,1122,intact,27,14,-24
p867,1119,559.0,2830.570661896243,2443.051878354204,1119,intact,27,15,-23
p907,1121,239.0,2831.523012552301,2490.029288702929,1121,intact,27,16,-22
p947,1123,563.0,2832.1936056838367,2554.644760213144,1123,intact,27,17,-21
p987,1124,341.0,2834.7741935483878,2598.565982404692,1124,intact,27,18,-20
p1027,1126,569.0,2835.474516695958,2665.13532513181,1126,intact,27,19,-19
p1067,1125,399.0,2837.157894736842,2714.937343358396,1125,intact,27,20,-18
p1107,1127,413.0,2836.496368038741,2774.605326876513,1127,intact,27,21,-17
p1147,1128,496.0,2837.844758064516,2826.951612903226,1128,intact,27,22,-16
p1187,1129,596.0,2836.7852348993288,2898.7936241610737,1129,intact,27,23,-15
p1227,1133,238.0,2839.7605042016808,2952.6890756302523,1133,intact,27,24,-14
p1267,1130,592.0,2838.8699324324325,3010.7179054054054,1130,intact,27,25,-13
p1307,1131,202.0,2839.064356435644,3080.0544554455446,1131,intact,27,26,-12
p1347,1132,409.0,2839.403422982885,3119.8704156479216,1132,intact,27,27,-11
p1387,1136,510.0,2841.790196078432,3179.2568627450983,1136,intact,27,28,-10
p1427,1139,531.0,2842.79472693032,3237.169491525424,1139,intact,27,29,-9
p1467,1137,467.0,2843.5631691648823,3288.374732334047,1137,intact,27,30,-8
p1507,1134,467.0,2841.304068522484,3352.1434689507496,1134,intact,27,31,-7
p1547,1138,237.0,2842.4767932489453,3403.4978902953585,1138,intact,27,32,-6
p1587,1135,448.0,2842.4821428571427,3461.4776785714284,1135,intact,27,33,-5
p1627,1140,459.0,2845.244008714597,3506.925925925926,1140,intact,27,34,-4
p1667,1141,559.0,2844.769230769231,3564.221824686941,1141,intact,27,35,-3
p1707,1142,459.0,2844.919389978213,3611.610021786492,1142,intact,27,36,-2
p1747,1143,335.0,2845.155223880597,3665.5462686567166,1143,intact,27,37,-1
p308,1150,593.0,2880.4384485666105,1656.114671163575,1150,intact,28,1,-37
p348,1155,213.0,2882.7652582159626,1693.6150234741783,1155,intact,28,2,-36
p388,1151,454.0,2881.1982378854627,1758.7444933920706,1151,intact,28,3,-35
p428,1156,294.0,2882.3503401360545,1805.2142857142856,1156,intact,28,4,-34
p468,1152,502.0,2881.569721115538,1865.438247011952,1152,intact,28,5,-33
p508,1153,275.0,2881.7054545454544,1921.301818181818,1153,intact,28,6,-32
p548,1154,440.0,2882.461363636364,1984.4977272727272,1154,intact,28,7,-31
p588,1158,205.0,2884.0682926829268,2030.307317073171,1158,intact,28,8,-30
p628,1159,744.0,2882.524285970096,2103.4670292774645,1159_1149,combined,28,9,-29
p668,1164,243.0,2885.477366255144,2147.8888888888887,1164,intact,28,10,-28
p708,1161,489.0,2884.474437627812,2207.5971370143147,1161,intact,28,11,-27
p748,1157,429.0,2884.3916083916083,2260.3636363636365,1157,intact,28,12,-26
p788,1162,521.0,2885.721689059501,2318.0729366602686,1162,intact,28,13,-25
p828,1160,344.0,2885.9447674418607,2370.5523255813955,1160,intact,28,14,-24
p868,1165,543.0,2886.092081031308,2444.7127071823206,1165,intact,28,15,-23
p908,1166,233.0,2886.772532188841,2484.793991416309,1166,intact,28,16,-22
p948,1163,560.0,2886.9160714285717,2553.380357142857,1163,intact,28,17,-21
p988,1167,322.0,2889.4037267080744,2597.8757763975154,1167,intact,28,18,-20
p1028,1168,643.0,2888.317262830482,2660.2332814930014,1168,intact,28,19,-19
p1068,1169,515.0,2890.8174757281554,2717.046601941748,1169,intact,28,20,-18
p1108,1170,388.0,2888.907216494845,2776.090206185567,1170,intact,28,21,-17
p1148,1171,347.0,2891.587896253602,2825.5273775216137,1171,intact,28,22,-16
p1188,1172,589.0,2892.5093378607808,2898.831918505942,1172,intact,28,23,-15
p1228,1173,254.0,2893.015748031496,2946.944881889764,1173,intact,28,24,-14
p1268,1178,651.0,2893.798771121352,3014.115207373272,1178,intact,28,25,-13
p1308,1180,254.0,2894.740157480315,3079.988188976378,1180,intact,28,26,-12
p1348,1179,479.0,2893.7202505219207,3120.603340292276,1179,intact,28,27,-11
p1388,1174,472.0,2894.2478813559323,3177.0741525423728,1174,intact,28,28,-10
p1428,1175,633.0,2893.5323854660346,3239.6303317535544,1175,intact,28,29,-9
p1468,1185,354.0,2896.2203389830506,3289.0,1185,intact,28,30,-8
p1508,1181,496.0,2895.4214328307357,3357.8761904761905,1181_1176,combined,28,31,-7
p1548,1186,252.0,2897.396825396825,3408.31746031746,1186,intact,28,32,-6
p1588,1183,386.0,2896.678756476684,3459.072538860104,1183,intact,28,33,-5
p1628,1177,430.0,2895.6976744186045,3507.741860465116,1177,intact,28,34,-4
p1668,1187,520.0,2896.942307692308,3560.030769230769,1187,intact,28,35,-3
p1708,1182,423.0,2896.600472813239,3611.4869976359337,1182,intact,28,36,-2
p1748,1184,401.0,2897.508728179552,3666.992518703242,1184,intact,28,37,-1
p309,1192,585.0,2937.4188034188032,1646.2273504273503,1192,intact,29,1,-37
p349,1200,277.0,2940.548736462094,1689.595667870036,1200,intact,29,2,-36
p389,1194,509.0,2938.654223968566,1757.4793713163065,1194,intact,29,3,-35
p429,1197,401.0,2940.2019950124686,1806.9351620947632,1197,intact,29,4,-34
p469,1195,498.0,2940.6787148594376,1865.140562248996,1195,intact,29,5,-33
p509,1198,346.0,2940.098265895954,1918.5346820809248,1198,intact,29,6,-32
p549,1196,557.0,2939.5134649910237,1982.710951526032,1196,intact,29,7,-31
p589,1201,293.0,2941.501706484641,2028.2798634812289,1201,intact,29,8,-30
p629,1202,486.0,2940.41975308642,2096.5123456790125,1202,intact,29,9,-29
p669,1203,238.0,2941.4873949579837,2147.121848739496,1203,intact,29,10,-28
p709,1199,425.0,2941.268235294118,2208.061176470588,1199,intact,29,11,-27
p749,1206,345.0,2944.1478260869567,2258.1072463768114,1206,intact,29,12,-26
p789,1204,436.0,2941.9449541284403,2322.4862385321103,1204,intact,29,13,-25
p829,1205,452.0,2944.073008849557,2366.4115044247787,1205,intact,29,14,-24
p869,1207,514.0,2943.661478599222,2441.852140077821,1207,intact,29,15,-23
p909,1209,258.0,2943.368217054264,2486.0387596899227,1209,intact,29,16,-22
p949,1210,595.0,2944.7579378945647,2557.9801698231886,1210_1208,combined,29,17,-21
p989,1211,302.0,2949.4668874172185,2598.427152317881,1211,intact,29,18,-20
p1029,1212,579.0,2949.2435233160622,2664.6131260794477,1212,intact,29,19,-19
p1069,1213,511.0,2949.545988258317,2718.2681017612526,1213,intact,29,20,-18
p1109,1214,456.0,2949.5241228070176,2774.089912280702,1214,intact,29,21,-17
p1149,1215,442.0,2950.316742081448,2825.063348416289,1215,intact,29,22,-16
p1189,1221,563.0,2951.190053285968,2892.8543516873888,1221,intact,29,23,-15
p1229,1219,292.0,2952.5616438356165,2943.657534246576,1219,intact,29,24,-14
p1269,1216,471.0,2952.6381591322343,3019.5334660480285,1216_1220,combined,29,25,-13
p1309,1224,231.0,2954.454545454545,3070.5714285714284,1224,intact,29,26,-12
p1349,1217,516.0,2951.9108527131784,3121.9244186046512,1217,intact,29,27,-11
p1389,1226,357.0,2955.1960784313724,3177.5966386554624,1226,intact,29,28,-10
p1429,1222,532.0,2954.146616541353,3237.125939849624,1222,intact,29,29,-9
p1469,1223,307.0,2954.609120521173,3295.403908794788,1223,intact,29,30,-8
p1509,1218,553.0,2953.2911392405063,3351.996383363472,1218,intact,29,31,-7
p1549,1228,233.0,2956.180257510729,3408.321888412017,1228,intact,29,32,-6
p1589,1225,473.0,2955.6279069767443,3458.450317124736,1225,intact,29,33,-5
p1629,1229,389.0,2956.7917737789203,3505.701799485861,1229,intact,29,34,-4
p1669,1227,448.0,2957.589285714286,3560.9397321428573,1227,intact,29,35,-3
p1709,1230,417.0,2957.7697841726617,3613.1606714628297,1230,intact,29,36,-2
p1749,1231,321.0,2956.105919003115,3665.92523364486,1231,intact,29,37,-1
p310,1236,572.0,2991.1206293706296,1653.36013986014,1236,intact,30,1,-37
p350,1242,236.0,2992.8813559322034,1691.021186440678,1242,intact,30,2,-36
p390,1239,534.0,2992.3988764044943,1759.7209737827716,1239,intact,30,3,-35
p430,1240,402.0,2993.273631840796,1807.8731343283584,1240,intact,30,4,-34
p470,1238,473.0,2992.3636363636365,1864.338266384778,1238,intact,30,5,-33
p510,1241,319.0,2993.3699059561127,1921.122257053292,1241,intact,30,6,-32
p550,1243,546.0,2994.516483516484,1985.624542124542,1243,intact,30,7,-31
p590,1244,268.0,2995.1194029850744,2031.686567164179,1244,intact,30,8,-30
p630,1247,626.0,2995.1198083067093,2100.20607028754,1247,intact,30,9,-29
p670,1245,291.0,2996.0240549828177,2146.7079037800686,1245,intact,30,10,-28
p710,1246,413.0,2995.983050847457,2208.9370460048426,1246,intact,30,11,-27
p750,1248,453.0,2997.147902869757,2256.1832229580573,1248,intact,30,12,-26
p790,1253,435.0,2997.027586206897,2316.4666666666667,1253,intact,30,13,-25
p830,1249,472.0,2997.2478813559323,2365.362288135593,1249,intact,30,14,-24
p870,1250,613.0,2996.995106035889,2438.373572593801,1250,intact,30,15,-23
p910,1255,326.0,2998.8496932515336,2482.72699386503,1255,intact,30,16,-22
p950,1251,505.0,2997.0772277227725,2551.837623762376,1251,intact,30,17,-21
p990,1256,316.0,3000.6487341772154,2596.0822784810125,1256,intact,30,18,-20
p1030,1257,527.0,2999.187855787476,2660.9601518026566,1257,intact,30,19,-19
p1070,1258,557.0,3000.2675044883304,2712.380610412926,1258,intact,30,20,-18
p1110,1252,495.0,2999.523232323232,2773.121212121212,1252,intact,30,21,-17
p1150,1260,468.0,3001.7735042735044,2825.480769230769,1260,intact,30,22,-16
p1190,1254,517.0,3000.941972920696,2895.375241779497,1254,intact,30,23,-15
p1230,1261,275.0,3002.0545454545454,2945.494545454545,1261,intact,30,24,-14
p1270,1259,522.0,3002.155172413793,3008.5210727969347,1259,intact,30,25,-13
p1310,1263,256.0,3003.0703125,3078.98046875,1263,intact,30,26,-12
p1350,1262,360.0,3002.7638888888887,3118.0916666666667,1262,intact,30,27,-11
p1390,1265,313.0,3005.44089456869,3174.527156549521,1265,intact,30,28,-10
p1430,1266,526.0,3005.480988593156,3237.93536121673,1266,intact,30,29,-9
p1470,1267,309.0,3006.6763754045305,3292.071197411003,1267,intact,30,30,-8
