pixel_id,label,area,centroid-0,centroid-1,seg_label,morphology,row_number,column_number,right_to_left
p281,7,361.0,1351.0470914127425,1637.7063711911358,7,intact,1,1,-37
p321,8,279.0,1352.3010752688172,1691.139784946237,8,intact,1,2,-36
p361,9,350.0,1353.4742857142858,1744.16,9,intact,1,3,-35
p401,11,471.0,1354.469214437367,1804.343949044586,11,intact,1,4,-34
p441,12,313.0,1355.4376996805113,1859.2012779552715,12,intact,1,5,-33
p481,13,354.0,1356.2966101694915,1912.276836158192,13,intact,1,6,-32
p521,14,379.0,1356.9129287598944,1975.0606860158312,14,intact,1,7,-31
p561,15,377.0,1358.3023872679046,2023.917771883289,15,intact,1,8,-30
p601,20,410.0,1358.4926829268293,2086.858536585366,20,intact,1,9,-29
p641,23,348.0,1360.551724137931,2140.902298850575,23,intact,1,10,-28
p681,16,410.0,1357.7682926829268,2197.853658536585,16,intact,1,11,-27
p721,17,374.0,1357.3368983957218,2257.0213903743315,17,intact,1,12,-26
p761,18,376.0,1358.6755319148936,2311.821808510638,18,intact,1,13,-25
p801,25,392.0,1361.0765306122448,2363.3571428571427,25,intact,1,14,-24
p841,21,338.0,1360.0650887573966,2426.6360946745563,21,intact,1,15,-23
p881,19,325.0,1359.7446153846154,2478.849230769231,19,intact,1,16,-22
p921,22,494.0,1360.9534412955466,2540.589068825911,22,intact,1,17,-21
p961,26,335.0,1364.6388059701492,2596.089552238806,26,intact,1,18,-20
p1001,24,396.0,1363.628787878788,2651.9141414141413,24,intact,1,19,-19
p1041,27,417.0,1365.0791366906474,2710.6498800959234,27,intact,1,20,-18
p1081,28,385.0,1364.8883116883117,2768.9220779220777,28,intact,1,21,-17
p1121,29,335.0,1366.841791044776,2820.8298507462687,29,intact,1,22,-16
p1161,30,353.0,1364.7762039660056,2883.781869688385,30,intact,1,23,-15
p1201,32,297.0,1366.353535353535,2932.79797979798,32,intact,1,24,-14
p1241,33,435.0,1366.3609195402298,2993.7540229885058,33,intact,1,25,-13
p1281,31,389.0,1364.4087403598971,3052.159383033419,31,intact,1,26,-12
p1321,34,400.0,1367.24,3107.9975,34,intact,1,27,-11
p1361,35,358.0,1367.63687150838,3164.6256983240223,35,intact,1,28,-10
p1401,37,331.0,1370.9003021148037,3221.395770392749,37,intact,1,29,-9
p1441,38,398.0,1372.0452261306532,3272.221105527638,38,intact,1,30,-8
p1481,36,440.0,1371.4681818181818,3335.2431818181817,36,intact,1,31,-7
p1521,39,323.0,1371.520123839009,3386.495356037152,39,intact,1,32,-6
p1561,40,412.0,1372.4393203883494,3444.0461165048546,40,intact,1,33,-5
p1601,42,373.0,1374.6166219839142,3498.3404825737266,42,intact,1,34,-4
p1641,41,345.0,1372.3217391304347,3554.4463768115943,41,intact,1,35,-3
p1681,43,352.0,1374.3494318181818,3611.465909090909,43,intact,1,36,-2
p1721,44,411.0,1374.1143552311437,3668.2603406326034,44,intact,1,37,-1
p282,53,486.0,1407.7798353909466,1652.218106995885,53,intact,2,1,-37
p322,50,374.0,1408.885026737968,1703.5213903743315,50,intact,2,2,-36
p362,54,290.0,1409.344827586207,1760.9586206896552,54,intact,2,3,-35
p402,61,524.0,1410.820610687023,1817.196564885496,61,intact,2,4,-34
p442,47,485.0,1408.7896907216495,1875.352577319588,47,intact,2,5,-33
p482,59,478.0,1411.8953974895398,1925.3451882845188,59,intact,2,6,-32
p522,55,425.0,1410.249411764706,1995.1905882352944,55,intact,2,7,-31
p562,57,433.0,1411.972286374134,2034.05311778291,57,intact,2,8,-30
p602,56,465.0,1410.6064516129031,2105.701075268817,56,intact,2,9,-29
p642,60,386.0,1413.417098445596,2153.4041450777204,60,intact,2,10,-28
p682,62,500.0,1411.92,2214.636,62,intact,2,11,-27
p722,58,575.0,1413.0817391304347,2274.0504347826086,58,intact,2,12,-26
