label,area,centroid-0,centroid-1,seg_label,morphology,row_number,column_number,right_to_left
273,272.0,1703.8786764705883,2492.143382352941,273,intact,7,16,-22
274,531.0,1703.7024482109227,2560.9623352165727,274,intact,7,17,-21
280,333.0,1707.984984984985,2607.0810810810813,280,intact,7,18,-20
277,488.0,1708.6434426229507,2668.782786885246,277,intact,7,19,-19
278,478.0,1709.6087866108787,2724.276150627615,278,intact,7,20,-18
281,447.0,1709.03355704698,2781.7225950783,281,intact,7,21,-17
275,417.0,1710.7194244604316,2831.800959232614,275,intact,7,22,-16
282,542.0,1710.7675276752768,2902.0461254612546,282,intact,7,23,-15
279,281.0,1710.594306049822,2949.4270462633453,279,intact,7,24,-14
276,298.0,1709.1208053691275,3013.3389261744965,276,spoilt,7,28,-14
276,516.0,1710.9227880056646,3025.1671695092664,276_284,combined,7,25,-13
284,218.0,1712.7247706422017,3036.9954128440368,284,spoilt,7,29,-13
283,218.0,1711.4770642201836,3073.302752293578,283,intact,7,26,-12
285,566.0,1712.4257950530036,3129.558303886926,285,intact,7,27,-11
286,394.0,1713.4162436548224,3183.2741116751267,286,intact,7,28,-10
287,518.0,1714.4401544401544,3247.803088803089,287,intact,7,29,-9
288,312.0,1713.5801282051282,3299.641025641026,288,intact,7,30,-8
289,566.0,1714.8233215547702,3364.2932862190814,289,intact,7,31,-7
291,338.0,1716.9556213017752,3404.665680473373,291,intact,7,32,-6
290,504.0,1717.142857142857,3465.3531746031745,290,intact,7,33,-5
292,545.0,1716.8788990825688,3514.4587155963304,292,intact,7,34,-4
294,450.0,1716.8155555555556,3570.0355555555557,294,intact,7,35,-3
293,461.0,1716.6746203904556,3619.4967462039044,293,intact,7,36,-2
295,342.0,1717.9795321637428,3670.93567251462,295,intact,7,37,-1
299,497.0,1748.4285714285713,1653.3058350100603,299,intact,8,1,-37
302,329.0,1750.6534954407296,1696.1063829787233,302,intact,8,2,-36
305,578.0,1750.2560553633218,1764.8044982698962,305,intact,8,3,-35
304,482.0,1751.948132780083,1814.746887966805,304,intact,8,4,-34
303,417.0,1750.4700239808153,1870.8249400479617,303,intact,8,5,-33
312,427.0,1752.5152224824355,1921.3466042154566,312,intact,8,6,-32
306,522.0,1753.4252873563219,1989.2835249042146,306,intact,8,7,-31
307,293.0,1754.2320819112629,2035.5494880546075,307,intact,8,8,-30
313,667.0,1753.6176911544228,2108.2278860569713,313,intact,8,9,-29
318,270.0,1756.7,2154.366666666667,318,intact,8,10,-28
300,523.0,1752.7609942638624,2217.940726577438,300,intact,8,11,-27
308,321.0,1754.9532710280373,2267.1619937694704,308,intact,8,12,-26
314,466.0,1755.3133047210301,2326.6587982832616,314,intact,8,13,-25
309,531.0,1755.135593220339,2375.693032015066,309,intact,8,14,-24
310,598.0,1754.8645484949832,2450.789297658863,310,intact,8,15,-23
315,231.0,1756.030303030303,2491.095238095238,315,intact,8,16,-22
316,572.0,1756.4597902097903,2559.4335664335663,316,intact,8,17,-21
311,391.0,1755.703324808184,2608.5907928388747,311,intact,8,18,-20
319,569.0,1757.5342706502636,2670.518453427065,319,intact,8,19,-19
320,485.0,1759.6329896907216,2724.8948453608245,320,intact,8,20,-18
317,532.0,1759.5808270676691,2784.9849624060153,317,intact,8,21,-17
323,428.0,1760.8785046728972,2834.0280373831774,323,intact,8,22,-16
322,519.0,1760.7398843930637,2899.2736030828514,322,intact,8,23,-15
325,282.0,1762.7978723404256,2951.1560283687945,325,intact,8,24,-14
321,504.0,1760.3333333333333,3017.2559523809523,321,intact,8,25,-13
327,322.0,1763.4068322981366,3076.894409937888,327,intact,8,26,-12
324,677.0,1762.4963072378139,3129.314623338257,324,intact,8,27,-11
326,413.0,1762.7893462469733,3184.9685230024215,326,intact,8,28,-10
329,575.0,1764.7704347826086,3245.593043478261,329,intact,8,29,-9
328,321.0,1765.4797507788162,3298.152647975078,328,intact,8,30,-8
332,560.0,1765.0553571428572,3359.2571428571428,332,intact,8,31,-7
330,362.0,1767.2154696132598,3403.770718232044,330,intact,8,32,-6
333,683.0,1764.9062957540264,3466.05710102489,333,intact,8,33,-5
331,422.0,1765.2630331753555,3515.0308056872036,331,intact,8,34,-4
334,411.0,1766.6350364963503,3566.875912408759,334,intact,8,35,-3
336,454.0,1768.2202643171806,3617.7885462555064,336,intact,8,36,-2
